arm,run_id,checkpoint_step,hellaswag_acc_norm_pct,arc_easy_acc_norm_pct,arc_challenge_acc_norm_pct,openbookqa_acc_norm_pct,piqa_acc_pct,winogrande_acc_pct,mean_pct
dense8L,cm_dense8L,19072,33.150766779525995,49.158249158249156,25.682593856655288,30.8,66.59412404787814,49.80268350434096,42.53140289110826
Layer loop,cm_layerloop3,19072,33.88767177853017,50.04208754208754,27.559726962457336,28.000000000000004,65.45157780195865,52.170481452249405,42.851924256213856
Plain loop,cm_p8m4_plain,19072,34.027086237801235,52.23063973063973,25.853242320819113,32.2,66.43090315560391,51.85477505919495,43.76610775067649
Full loop (ours),cm_vloop,19072,35.929097789285,54.629629629629626,28.242320819112628,30.4,67.35582154515778,50.5130228887135,44.51164877864975
dense16L,cm_plain16L,19072,35.77972515435172,53.49326599326599,26.706484641638223,30.0,67.6822633297062,50.67087608524072,44.055435867367144
Replacement control,cm_vloop_rep,19072,25.28380800637323,29.040404040404038,23.037542662116042,28.4,53.21001088139282,49.96053670086819,34.82205038185905
